hu_ngram,n,count,en_word,en_pron,cost
ami,1,0,me,m i,0.3333333333333333
első,1,0,l,ɛ l,0.5
te,1,0,tell,t ɛ l,0.5
tö,1,0,toe,t oʊ,0.1
tö + B,2,0,toe,t oʊ,0.39999999999999997
B,1,0,a,ʌ,2.0
ig,1,0,e,i,0.5
nek,1,0,neck,n ɛ k,0.0
em,1,0,m,ɛ m,0.0
kis,1,0,key,k i,0.3333333333333333
eǧik,1,0,g,dʒ i,0.5
ijen,1,0,yen,j ɛ n,0.25
sok,1,0,shaw,ʃ ɔ,0.3333333333333333
na,1,0,in,ɪ n,1.0
ért,1,0,to,t u,1.0
tud,1,0,to,t u,0.3333333333333333
tud + om,2,0,tomb,t u m,0.4
om,1,0,om,ɔ m,0.0
bud,1,0,boo,b u,0.3333333333333333
bud + ap,2,0,boo,b u,0.6
ap,1,0,up,ʌ p,1.0
est,1,0,et,ɛ t,0.3333333333333333
közöT,1,0,co,k oʊ,0.64
le + T,2,0,let,l ɛ t,0.6666666666666666
T,1,0,a,ʌ,2.0
oT,1,0,aw,ɔ,0.5
alaT,1,0,all,ɔ l,1.0
ember,1,0,m,ɛ m,0.6
ma,1,0,mm,m,0.5
mijaT,1,0,me,m i,0.6
len,1,0,n,ɛ n,0.3333333333333333
által,1,0,little,l ɪ t ʌ l,0.8
hát,1,0,hit,h ɪ t,0.6666666666666666
más,1,0,mm,m,0.6666666666666666
valami,1,0,me,m i,0.6666666666666666
ben,1,0,ben,b ɛ n,0.0
egéʃ,1,0,'s,ɛ s,0.5
ar,1,0,a,ʌ,1.5
ra,1,0,a,ʌ,1.5
nak,1,0,neck,n ɛ k,0.6666666666666666
át,1,0,to,t u,1.0
ez + ek,2,0,says,s ɛ z,0.75
ek,1,0,check,tʃ ɛ k,0.5
ǧen,1,0,gen,dʒ ɛ n,0.0
nap,1,0,nope,n oʊ p,0.6666666666666666
rá,1,0,a,ʌ,1.5
el + ég,2,0,l,ɛ l,0.5
ég,1,0,a,ʌ,1.5
i,1,0,e,i,0.0
előT,1,0,l,ɛ l,0.5
se,1,0,share,ʃ ɛ ɹ,0.5
valaki,1,0,key,k i,0.6666666666666666
év,1,0,of,ʌ v,1.0
amej,1,0,men,m ɛ n,0.75
kiči,1,0,kitty,k ɪ t i,0.3333333333333333
seMi,1,0,she,ʃ i,0.5
meLeT,1,0,men,m ɛ n,0.8
er,1,0,eh,ɛ,0.5
re,1,0,eh,ɛ,0.5
fog,1,0,for,f ɔ ɹ,0.6666666666666666
min,1,0,mean,m i n,0.0
min + deŋ,2,0,mean,m i n,0.5
min + deŋ + ki,3,0,index,ɪ n d ɛ k s,0.5
deŋ,1,0,ng,ɛ ŋ,0.3333333333333333
deŋ + ki,2,0,deck,d ɛ k,0.4
ed,1,0,ed,ɛ d,0.0
nélkül,1,0,like,l aɪ k,0.8333333333333334
ʃép,1,0,spy,s p aɪ,0.6666666666666666
aki + k,2,0,kick,k ɪ k,0.25
k,1,0,co,k oʊ,1.0
három,1,0,hmm,h m,0.6
jo,1,0,your,j ɔ ɹ,0.5
jo + B,2,0,your,j ɔ ɹ,0.6666666666666666
ʃerint,1,0,sent,s ɛ n t,0.3333333333333333
túl,1,0,tell,t ɛ l,0.6666666666666666
val,1,0,val,v æ l,0.6666666666666666
val + am,2,0,mm,m,0.8
am,1,0,mm,m,0.5
int,1,0,in,ɪ n,0.3333333333333333
leg,1,0,let,l ɛ t,0.6666666666666666
leg + jo,2,0,law,l ɔ,0.6
leg + jo + B,3,0,law,l ɔ,0.6666666666666666
biʃtos,1,0,beast,b i s t,0.3333333333333333
zel,1,0,l,ɛ l,0.3333333333333333
vel,1,0,l,ɛ l,0.3333333333333333
másik,1,0,mc,m ɪ k,0.4
néɦáɲ,1,0,in,ɪ n,1.0
viƩa,1,0,v,v i,0.5
ő,1,0,a,ʌ,2.0
ő + k,2,0,co,k oʊ,1.0
ő + k + et,3,0,kept,k ɛ p t,0.5
k + et,2,0,kept,k ɛ p t,0.3333333333333333
et,1,0,et,ɛ t,0.0
ban,1,0,been,b ɪ n,0.6666666666666666
eLen,1,0,n,ɛ n,0.5
pár,1,0,up,ʌ p,1.0
beN,1,0,bed,b ɛ d,0.6666666666666666
e,1,0,eh,ɛ,0.0
om + ban,2,0,om,ɔ m,0.6
cím,1,0,it's,ɪ t s,0.8
ű,1,0,a,ʌ,2.0
ember + ek,2,0,beck,b ɛ k,0.5714285714285714
iL,1,0,e,i,0.5
iL + et,2,0,it,ɪ t,0.5
ve,1,0,eh,ɛ,0.5
köʃön,1,0,cone,k oʊ n,0.44000000000000006
öm,1,0,mm,m,0.5
év + es,2,0,eh,ɛ,0.75
eť,1,0,eh,ɛ,0.5
eť + ʃer,2,0,'s,ɛ s,0.6
ʃer,1,0,said,s ɛ d,0.6666666666666666
eb,1,0,web,w ɛ b,0.5
roƩ,1,0,aw,ɔ,0.6666666666666666
teJes,1,0,tell,t ɛ l,0.8
bár,1,0,be,b i,1.0
eT,1,0,eh,ɛ,0.5
t + ak,2,0,take,t eɪ k,0.6666666666666666
an,1,0,in,ɪ n,1.0
aƝi,1,0,e,i,0.6666666666666666
es + t,2,0,et,ɛ t,0.3333333333333333
t + e,2,0,tell,t ɛ l,0.5
idő,1,0,id,ɪ d,0.3333333333333333
más + odik,2,0,dick,d ɪ k,0.5714285714285714
odik,1,0,dick,d ɪ k,0.25
áL,1,0,a,ʌ,1.5
B + an,2,0,in,ɪ n,1.0
naǧ + oB,2,0,jaw,dʒ ɔ,0.6
oB,1,0,aw,ɔ,0.5
néz,1,0,news,n u z,0.6666666666666666
d,1,0,do,d u,1.0
hoZá,1,0,hall,h ɔ l,0.75
minden,1,0,mean,m i n,0.5
utolsó,1,0,tall,t ɔ l,0.5
való,1,0,val,v æ l,0.75
sor,1,0,shaw,ʃ ɔ,0.3333333333333333
sor + á,2,0,shaw,ʃ ɔ,0.5
á,1,0,a,ʌ,2.0
á + n,2,0,in,ɪ n,1.0
n,1,0,in,ɪ n,1.0
uŋk,1,0,look,l ʊ k,0.6666666666666666
font,1,0,fought,f ɔ t,0.25
font + os,2,0,fought,f ɔ t,0.5
os,1,0,aw,ɔ,0.5
hol,1,0,hall,h ɔ l,0.0
ké,1,0,co,k oʊ,1.0
mont,1,0,monty,m ɔ n t i,0.25
mont + a,2,0,monty,m ɔ n t i,0.4
a,1,0,a,ʌ,2.0
of,1,0,off,ɔ f,0.0
in,1,0,in,ɪ n,0.0
köv,1,0,cove,k oʊ v,0.06666666666666667
köv + et,2,0,vet,v ɛ t,0.4
köv + et + kez,3,0,vet,v ɛ t,0.625
et + kez,2,0,tells,t ɛ l z,0.6
et + kez + ő,3,0,tells,t ɛ l z,0.6666666666666666
kez,1,0,cares,k ɛ ɹ z,0.3333333333333333
kez + ő,2,0,cares,k ɛ ɹ z,0.5
mag,1,0,mm,m,0.6666666666666666
mag + am,2,0,mom,m ɑ m,0.8
pont,1,0,pawn,p ɔ n,0.25
öƩe,1,0,eh,ɛ,0.6666666666666666
az + ok,2,0,talk,t ɔ k,0.75
dolog,1,0,all,ɔ l,0.6
e + ur,2,0,eh,ɛ,0.6666666666666666
e + ur + óp,3,0,yep,j ɛ p,0.8
ur,1,0,ou,u,0.5
ur + óp,2,0,loop,l u p,0.75
óp,1,0,up,ʌ p,1.0
aji,1,0,ye,j i,0.3333333333333333
férfi,1,0,fee,f i,0.6
ni,1,0,knee,n i,0.0
nemz,1,0,m,ɛ m,0.5
nemz + et,2,0,met,m ɛ t,0.5
et + i,2,0,t,t i,0.3333333333333333
ʃám,1,0,some,s ʌ m,0.6666666666666666
ár,1,0,a,ʌ,1.5
ár + a,2,0,a,ʌ,1.3333333333333333
ʃó,1,0,so,s oʊ,1.0
t + am,2,0,time,t aɪ m,0.6666666666666666
al,1,0,all,ɔ l,1.0
al + ap,2,0,loop,l u p,0.75
al + ap + já,3,0,loop,l u p,0.8333333333333334
ap + já,2,0,you,j u,1.0
já,1,0,you,j u,1.0
já + n,2,0,yen,j ɛ n,0.6666666666666666
jön,1,0,own,oʊ n,0.39999999999999997
maǧ,1,0,mm,m,0.6666666666666666
maǧ + ar,2,0,mm,m,0.8
maǧ + ar + or,3,0,jaw,dʒ ɔ,0.7142857142857143
ar + or,2,0,aw,ɔ,0.75
ar + or + ʃág,3,0,loss,l ɔ s,0.8571428571428571
or,1,0,aw,ɔ,0.5
or + ʃág,2,0,loss,l ɔ s,0.8
ʃág,1,0,so,s oʊ,1.0
mag + á,2,0,mm,m,0.75
á + t,2,0,to,t u,1.0
maji,1,0,me,m i,0.5
példá,1,0,played,p l eɪ d,0.6
ul,1,0,full,f ʊ l,0.5
zal,1,0,is,ɪ z,1.0
ide,1,0,id,ɪ d,0.3333333333333333
igaz,1,0,is,ɪ z,0.5
ʃep,1,0,sep,s ɛ p,0.0
ʃep + tem,2,0,september,s ɛ p t ɛ m b ɝ,0.3333333333333333
ʃep + tem + ber,3,0,september,s ɛ p t ɛ m b ɝ,0.3333333333333333
tem,1,0,m,ɛ m,0.3333333333333333
tem + ber,2,0,m,ɛ m,0.6666666666666666
ber,1,0,bed,b ɛ d,0.6666666666666666
film,1,0,film,f ɪ l m,0.0
isten,1,0,ten,t ɛ n,0.4
kés,1,0,cash,k æ ʃ,0.6666666666666666
kés + ő,2,0,cash,k æ ʃ,0.75
ő + B,2,0,a,ʌ,1.5
meǧ,1,0,edge,ɛ dʒ,0.3333333333333333
kal,1,0,call,k ɔ l,0.6666666666666666
világ,1,0,v,v i,0.6
óta,1,0,to,t u,1.0
am + er,2,0,men,m ɛ n,0.75
am + er + ik,3,0,mc,m ɪ k,0.5
er + ik,2,0,eric,ɛ ɹ ɪ k,0.5
ik,1,0,week,w i k,0.5
ik + aji,2,0,key,k i,0.6
baj,1,0,you,j u,1.0
as,1,0,sh,ʃ,0.5
eǧ + et,2,0,jet,dʒ ɛ t,0.25
et + len,2,0,ten,t ɛ n,0.4
hoƩ,1,0,hall,h ɔ l,0.6666666666666666
hoƩ + ú,2,0,hall,h ɔ l,0.75
ú,1,0,a,ʌ,2.0
mej,1,0,men,m ɛ n,0.6666666666666666
német,1,0,met,m ɛ t,0.4
él,1,0,all,ɔ l,1.0
él + ő,2,0,all,ɔ l,1.0
ja,1,0,you,j u,1.0
köz,1,0,co,k oʊ,0.39999999999999997
köz + ben,2,0,ben,b ɛ n,0.5
nemzet,1,0,met,m ɛ t,0.5
köz + i,2,0,cozy,k oʊ z i,0.05
nő,1,0,in,ɪ n,1.0
oda,1,0,aw,ɔ,0.6666666666666666
at,1,0,to,t u,1.0
jelen,1,0,yell,j ɛ l,0.4
jelen + t,2,0,lent,l ɛ n t,0.3333333333333333
kerül,1,0,l,ɛ l,0.6
kerül + t,2,0,l,ɛ l,0.6666666666666666
od,1,0,aw,ɔ,0.5
történ,1,0,tone,t oʊ n,0.5333333333333333
történ + t,2,0,tone,t oʊ n,0.6
kedv,1,0,ed,ɛ d,0.5
kedv + es,2,0,ed,ɛ d,0.6666666666666666
kéʃ,1,0,case,k eɪ s,0.6666666666666666
kéʃ + ül,2,0,case,k eɪ s,0.8
kéʃ + ül + t,3,0,cost,k ɑ s t,0.6666666666666666
ül,1,0,all,ɔ l,1.0
ül + t,2,0,lot,l ɑ t,0.6666666666666666
meǧ + ek,2,0,edge,ɛ dʒ,0.6
sik,1,0,chic,ʃ i k,0.0
sik + er,2,0,chic,ʃ i k,0.4
sik + er + ül,3,0,shell,ʃ ɛ l,0.5714285714285714
er + ül,2,0,l,ɛ l,0.5
ó,1,0,a,ʌ,2.0
ó + ra,2,0,a,ʌ,1.3333333333333333
kap,1,0,keep,k i p,0.6666666666666666
kap + oT,2,0,keep,k i p,0.8
seŋki,1,0,she,ʃ i,0.6
tut,1,0,to,t u,0.3333333333333333
tam,1,0,time,t aɪ m,0.6666666666666666
ról,1,0,all,ɔ l,1.0
fél,1,0,feel,f i l,0.6666666666666666
réʃ,1,0,so,s oʊ,1.0
réʃ + t,2,0,set,s ɛ t,0.75
aB,1,0,a,ʌ,1.5
ad,1,0,do,d u,1.0
ad + oT,2,0,d'or,d ɔ ɹ,0.75
akar,1,0,co,k oʊ,1.0
dig,1,0,d,d i,0.3333333333333333
eǧ + es,2,0,edge,ɛ dʒ,0.5
láɲ,1,0,all,ɔ l,1.0
ʃabad,1,0,said,s ɛ d,0.8
vég,1,0,of,ʌ v,1.0
án,1,0,in,ɪ n,1.0
ér,1,0,a,ʌ,1.5
ér + t,2,0,to,t u,1.0
ér + t + em,3,0,m,ɛ m,0.6
t + em,2,0,m,ɛ m,0.3333333333333333
feɦér,1,0,fair,f ɛ ɹ,0.8
felé,1,0,fell,f ɛ l,0.25
aŋgol,1,0,all,ɔ l,0.6
fő,1,0,if,ɪ f,1.0
ene,1,0,n,ɛ n,0.3333333333333333
kép,1,0,keep,k i p,0.6666666666666666
kép + es,2,0,keep,k i p,0.8
néǧ,1,0,in,ɪ n,1.0
orʃág,1,0,loss,l ɔ s,0.8
perc,1,0,pets,p ɛ t s,0.3333333333333333
város,1,0,von,v ɔ n,0.8
vég + é,2,0,of,ʌ v,1.0
é,1,0,a,ʌ,2.0
é + n,2,0,in,ɪ n,1.0
ab,1,0,be,b i,1.0
kiráj,1,0,key,k i,0.6
muŋka,1,0,monk,m ʌ ŋ k,0.6
út,1,0,to,t u,1.0
bele,1,0,bell,b ɛ l,0.25
kül,1,0,call,k ɔ l,0.6666666666666666
kül + öm,2,0,comb,k oʊ m,0.44000000000000006
kül + öm + böz,3,0,claims,k l eɪ m z,0.625
öm + böz,2,0,homes,h oʊ m z,0.64
böz,1,0,bones,b oʊ n z,0.39999999999999997
remél,1,0,m,ɛ m,0.6
talál,1,0,tell,t ɛ l,0.8
talál + ɦató,2,0,tilt,t ɪ l t,0.7777777777777778
ɦató,1,0,to,t u,1.0
öt,1,0,oh,oʊ,0.6
holnap,1,0,hall,h ɔ l,0.5
komoj,1,0,om,ɔ m,0.6
korá,1,0,call,k ɔ l,0.75
rajt,1,0,yet,j ɛ t,0.75
él + et,2,0,let,l ɛ t,0.25
ő + t,2,0,to,t u,1.0
ah,1,0,he,h i,1.0
hoz,1,0,halls,h ɔ l z,0.3333333333333333
hej,1,0,heh,h ɛ,0.3333333333333333
jö,1,0,yo,j oʊ,0.1
jö + T,2,0,yo,j oʊ,0.39999999999999997
nev,1,0,never,n ɛ v ɝ,0.3333333333333333
nev + e,2,0,never,n ɛ v ɝ,0.5
reGel,1,0,l,ɛ l,0.6
eƝ,1,0,eh,ɛ,0.5
eƝ + i,2,0,any,ɛ n i,0.6666666666666666
ján,1,0,yen,j ɛ n,0.6666666666666666
ján + os,2,0,your,j ɔ ɹ,0.8
men,1,0,men,m ɛ n,0.0
men + ni,2,0,many,m ɛ n i,0.2
mij,1,0,me,m i,0.3333333333333333
ut,1,0,put,p ʊ t,0.5
ut + án,2,0,put,p ʊ t,0.75
már + cij,2,0,me,m i,0.75
már + cij + us,3,0,eu,i j u,0.7
cij,1,0,see,s i,0.6
cij + us,2,0,eu,i j u,0.5714285714285714
us,1,0,push,p ʊ ʃ,0.5
ön,1,0,own,oʊ n,0.1
elő,1,0,l,ɛ l,0.3333333333333333
harm,1,0,hmm,h m,0.5
harm + adik,2,0,dick,d ɪ k,0.625
adik,1,0,dick,d ɪ k,0.25
hiʃ,1,0,he,h i,0.3333333333333333
kereʃt,1,0,quest,k w ɛ s t,0.5
közel,1,0,coal,k oʊ l,0.44000000000000006
mód,1,0,made,m eɪ d,0.6666666666666666
hiv,1,0,he,h i,0.3333333333333333
hiv + at,2,0,hit,h ɪ t,0.4
hiv + at + al,3,0,hit,h ɪ t,0.5714285714285714
at + al,2,0,tell,t ɛ l,0.75
at + al + os,3,0,law,l ɔ,0.6666666666666666
al + os,2,0,law,l ɔ,0.5
ʃent,1,0,sent,s ɛ n t,0.0
ʃeret,1,0,set,s ɛ t,0.4
nék,1,0,neck,n ɛ k,0.6666666666666666
áp,1,0,up,ʌ p,1.0
áp + ril,2,0,pill,p ɪ l,0.4
áp + ril + is,3,0,polish,p ɑ l ɪ ʃ,0.5714285714285714
ril,1,0,ill,ɪ l,0.3333333333333333
ril + is,2,0,really,ɹ ɪ l i,0.6
éP,1,0,a,ʌ,1.5
a + ug,2,0,ou,u,0.6666666666666666
a + ug + uʃ,3,0,use,j u s,0.8
ug,1,0,ou,u,0.5
ug + uʃ,2,0,use,j u s,0.75
uʃ,1,0,use,j u s,0.5
uʃ + tus,2,0,to,t u,0.6
tus,1,0,to,t u,0.3333333333333333
ek + et,2,0,kept,k ɛ p t,0.5
ezer,1,0,says,s ɛ z,0.75
ǧors,1,0,jaw,dʒ ɔ,0.5
hét,1,0,hit,h ɪ t,0.6666666666666666
miLijó,1,0,me,m i,0.6666666666666666
teC,1,0,test,t ɛ s t,0.6
töBi,1,0,t,t i,0.5
alá,1,0,all,ɔ l,1.0
čap,1,0,top,t ɑ p,0.8
čap + at,2,0,shaped,ʃ eɪ p t,0.7142857142857143
eť + ʃer + ű,3,0,'s,ɛ s,0.6666666666666666
ʃer + ű,2,0,said,s ɛ d,0.75
ʃer + ű + en,3,0,sen,s ɛ n,0.5
ű + en,2,0,n,ɛ n,0.3333333333333333
hat,1,0,hit,h ɪ t,0.6666666666666666
ház,1,0,his,h ɪ z,0.6666666666666666
el + múl,2,0,m,ɛ m,0.6
múl,1,0,male,m eɪ l,0.6666666666666666
múl + t,2,0,melt,m ɛ l t,0.5
rövid,1,0,v,v i,0.6
ti,1,0,t,t i,0.0
tök,1,0,oak,oʊ k,0.39999999999999997
tök + élet,2,0,let,l ɛ t,0.5714285714285714
tök + élet + es,3,0,let,l ɛ t,0.6666666666666666
élet,1,0,let,l ɛ t,0.25
élet + es,2,0,let,l ɛ t,0.5
év + ek,2,0,check,tʃ ɛ k,0.75
hatalm,1,0,hmm,h m,0.6666666666666666
hatalm + as,2,0,hmm,h m,0.75
hej + i,2,0,he,h i,0.5
lév,1,0,love,l ʌ v,0.6666666666666666
lév + ő,2,0,love,l ʌ v,0.75
men + t,2,0,meant,m ɛ n t,0.0
oroʃ,1,0,loss,l ɔ s,0.75
sinč,1,0,shit,ʃ ɪ t,0.5
érz,1,0,is,ɪ z,1.0
boldog,1,0,bald,b ɔ l d,0.3333333333333333
haza,1,0,his,h ɪ z,0.75
játék,1,0,take,t eɪ k,0.8
kormáɲ,1,0,om,ɔ m,0.6666666666666666
meƝ,1,0,men,m ɛ n,0.6666666666666666
meƝ + i,2,0,me,m i,0.5
i + re,2,0,e,i,0.6666666666666666
mond,1,0,mod,m ɔ d,0.25
mond + om,2,0,mod,m ɔ d,0.5
ló,1,0,all,ɔ l,1.0
te + T,2,0,tell,t ɛ l,0.6666666666666666
aɲa,1,0,a,ʌ,1.3333333333333333
erő,1,0,eh,ɛ,0.6666666666666666
erő + s,2,0,eh,ɛ,0.75
s,1,0,sh,ʃ,0.0
kérd,1,0,could,k ʊ d,0.75
kérd + és,2,0,could,k ʊ d,0.8333333333333334
köz + ös,2,0,co,k oʊ,0.64
ös,1,0,sh,ʃ,0.5
magas,1,0,mm,m,0.8
maj,1,0,mm,m,0.6666666666666666
m,1,0,mm,m,0.0
tól,1,0,tell,t ɛ l,0.6666666666666666
vál,1,0,val,v æ l,0.6666666666666666
vál + t,2,0,vault,v ɔ l t,0.5
ál,1,0,all,ɔ l,1.0
ál + tal,2,0,little,l ɪ t ʌ l,0.8
tal,1,0,tell,t ɛ l,0.6666666666666666
áb,1,0,be,b i,1.0
áb + an,2,0,been,b ɪ n,0.75
ám,1,0,mm,m,0.5
čalád,1,0,told,t oʊ l d,0.7142857142857143
ből,1,0,bill,b ɪ l,0.6666666666666666
eǧed,1,0,edged,ɛ dʒ d,0.25
ǧöɲör,1,0,joe,dʒ oʊ,0.64
ǧöɲör + ű,2,0,joe,dʒ oʊ,0.7000000000000001
hejeT,1,0,heh,h ɛ,0.6
jár,1,0,you,j u,1.0
ok + tób,2,0,oct,ɔ k t,0.4
ok + tób + er,3,0,oct,ɔ k t,0.5714285714285714
tób,1,0,tube,t u b,0.6666666666666666
tób + er,2,0,tell,t ɛ l,0.8
othon,1,0,ought,ɔ t,0.6
sor + oz,2,0,shaw,ʃ ɔ,0.6
sor + oz + at,3,0,short,ʃ ɔ ɹ t,0.7142857142857143
oz,1,0,laws,l ɔ z,0.5
oz + at,2,0,ought,ɔ t,0.5
érdek,1,0,deck,d ɛ k,0.4
érdek + es,2,0,deck,d ɛ k,0.5714285714285714
and,1,0,and,ʌ n d,0.6666666666666666
belől,1,0,bell,b ɛ l,0.4
fij,1,0,fee,f i,0.3333333333333333
fij + at,2,0,feet,f i t,0.4
fij + at + al,3,0,feel,f i l,0.5714285714285714
iskola,1,0,call,k ɔ l,0.5
üŋk,1,0,inc,ɪ ŋ k,0.6666666666666666
ʃól,1,0,sale,s eɪ l,0.6666666666666666
tar,1,0,to,t u,1.0
től,1,0,tell,t ɛ l,0.6666666666666666
at + tól,2,0,tell,t ɛ l,0.8
ok + at,2,0,oct,ɔ k t,0.25
bud + ap + es,3,0,bush,b ʊ ʃ,0.5714285714285714
ap + es,2,0,pressure,p ɹ ɛ ʃ ɝ,0.75
ten,1,0,ten,t ɛ n,0.0
ként,1,0,can't,k æ n t,0.5
hez,1,0,heads,h ɛ d z,0.3333333333333333
ǧerek,1,0,check,tʃ ɛ k,0.8
jel,1,0,yell,j ɛ l,0.0
eL,1,0,eh,ɛ,0.5
eg,1,0,eh,ɛ,0.5
va,1,0,of,ʌ v,1.0
ʃint,1,0,seen,s i n,0.25
tamás,1,0,time,t aɪ m,0.8
amej + ek,2,0,make,m eɪ k,0.8333333333333334
es + et,2,0,et,ɛ t,0.5
ǧerek + ek,2,0,care,k ɛ ɹ,0.8571428571428571
hasoLó,1,0,shaw,ʃ ɔ,0.6666666666666666
je,1,0,yet,j ɛ t,0.5
marat,1,0,might,m aɪ t,0.8
marat + t,2,0,might,m aɪ t,0.8333333333333334
moɲǧa,1,0,more,m ɔ ɹ,0.8
ʃül,1,0,sale,s eɪ l,0.6666666666666666
ʃül + et,2,0,let,l ɛ t,0.4
et + eT,2,0,et,ɛ t,0.5
ten + ni,2,0,any,ɛ n i,0.4
ál + tal + án,3,0,little,l ɪ t ʌ l,0.8571428571428571
tal + án,2,0,tell,t ɛ l,0.8
ről,1,0,all,ɔ l,1.0
jut,1,0,you,j u,0.3333333333333333
jut + oT,2,0,utah,j u t ɔ,0.2
kör,1,0,co,k oʊ,0.39999999999999997
kör + ül,2,0,coal,k oʊ l,0.44000000000000006
követ,1,0,vet,v ɛ t,0.4
követ + ő,2,0,vet,v ɛ t,0.5
ő + en,2,0,n,ɛ n,0.3333333333333333
lát,1,0,lot,l ɑ t,0.6666666666666666
lát + ni,2,0,t,t i,0.6
ɲár,1,0,a,ʌ,1.3333333333333333
pont + os,2,0,pawn,p ɔ n,0.5
os + an,2,0,gone,g ɔ n,0.75
ʃem,1,0,m,ɛ m,0.3333333333333333
vár,1,0,of,ʌ v,1.0
ér + t + e,3,0,tell,t ɛ l,0.75
fog + ja,2,0,for,f ɔ ɹ,0.8
idő + ben,2,0,ben,b ɛ n,0.5
marad,1,0,made,m eɪ d,0.8
to,1,0,talk,t ɔ k,0.5
óʃ,1,0,so,s oʊ,1.0
ín,1,0,in,ɪ n,1.0
ven,1,0,n,ɛ n,0.3333333333333333
ven + ni,2,0,any,ɛ n i,0.4
áLam,1,0,mm,m,0.75
érdem,1,0,m,ɛ m,0.6
ad + at,2,0,date,d eɪ t,0.75
ad + at + ok,3,0,talk,t ɔ k,0.5
at + ok,2,0,talk,t ɔ k,0.25
akar + t,2,0,act,æ k t,0.8
eredet,1,0,debt,d ɛ t,0.5
fijú,1,0,fee,f i,0.3333333333333333
fran,1,0,fun,f ʌ n,0.75
fran + cija,2,0,fantasy,f æ n t ʌ s i,0.7
cija,1,0,see,s i,0.6666666666666666
gondol,1,0,all,ɔ l,0.6666666666666666
gondol + t,2,0,all,ɔ l,0.7142857142857143
hamar,1,0,hmm,h m,0.6
kül + öL,2,0,close,k l oʊ s,0.64
kül + öL + eg,3,0,claire,k l ɛ ɹ,0.7142857142857143
öL,1,0,oh,oʊ,0.6
öL + eg,2,0,eh,ɛ,0.75
öL + eg + es,3,0,eh,ɛ,0.8333333333333334
eg + es,2,0,eh,ɛ,0.75
ɦet + eT,2,0,et,ɛ t,0.6
nap + ot,2,0,port,p ɔ ɹ t,0.6
ot,1,0,ought,ɔ t,0.0
rencer,1,0,cents,s ɛ n t s,0.625
ʃív,1,0,save,s eɪ v,0.6666666666666666
ʃív + es,2,0,said,s ɛ d,0.8
es + en,2,0,n,ɛ n,0.5
te + Te,2,0,tell,t ɛ l,0.75
Te,1,0,eh,ɛ,0.5
te + T + em,3,0,m,ɛ m,0.6
T + em,2,0,m,ɛ m,0.3333333333333333
tal + án + os,3,0,law,l ɔ,0.7142857142857143
án + os,2,0,nor,n ɔ ɹ,0.75
feb,1,0,fair,f ɛ ɹ,0.6666666666666666
feb + ru,2,0,boo,b u,0.6
feb + ru + ár,3,0,boo,b u,0.7142857142857143
ru,1,0,ou,u,0.5
ru + ár,2,0,ou,u,0.75
gazda,1,0,is,ɪ z,1.0
gazda + ság,2,0,dish,d ɪ ʃ,0.875
gazda + ság + i,3,0,she,ʃ i,0.7777777777777778
ság,1,0,sh,ʃ,0.6666666666666666
ság + i,2,0,she,ʃ i,0.5
kis + eB,2,0,key,k i,0.6
eB,1,0,eh,ɛ,0.5
oldal,1,0,all,ɔ l,0.6
