hu_ngram,n,en_word,en_pron,cost,count
til,1,till,t ɪ l,0.24,13
buk,1,book,b ʊ k,0.24,12
dip,1,dip,d ɪ p,0.24,12
gyen,1,gen,dʒ ɛ n,0.24,12
mik,1,mc,m ɪ k,0.24,12
nan,1,non,n ɑ n,0.24,12
hel,1,hell,h ɛ l,0.24,11
fil,1,fill,f ɪ l,0.24,10
kam,1,calm,k ɑ m,0.24,10
basz,1,boss,b ɑ s,0.24,9
bol,1,ball,b ɔ l,0.24,9
det,1,debt,d ɛ t,0.24,9
kaz,1,cause,k ɑ z,0.24,9
kosz,1,cos,k ɔ s,0.24,9
nat,1,not,n ɑ t,0.24,9
suk,1,shook,ʃ ʊ k,0.24,9
bul,1,bull,b ʊ l,0.24,8
misz,1,miss,m ɪ s,0.24,8
eksz,1,x,ɛ k s,0.24,7
kim,1,kim,k ɪ m,0.24,7
szet,1,set,s ɛ t,0.24,7
bab,1,bob,b ɑ b,0.24,6
bet,1,bet,b ɛ t,0.24,6
bil,1,bill,b ɪ l,0.24,6
end,1,end,ɛ n d,0.24,6
mol,1,mall,m ɔ l,0.24,6
pet,1,pet,p ɛ t,0.24,6
bit,1,bit,b ɪ t,0.24,5
bosz,1,boss',b ɔ s,0.24,5
him,1,him,h ɪ m,0.24,5
jet,1,yet,j ɛ t,0.24,5
kil,1,kill,k ɪ l,0.24,5
pin,1,pin,p ɪ n,0.24,5
szik,1,sick,s ɪ k,0.24,5
sön,1,shown,ʃ oʊ n,0.24,5
tad,1,todd,t ɑ d,0.24,5
tip,1,tip,t ɪ p,0.24,5
bin,1,been,b ɪ n,0.24,4
dik,1,dick,d ɪ k,0.24,4
dis,1,dish,d ɪ ʃ,0.24,4
gyan,1,john,dʒ ɑ n,0.24,4
pisz,1,piss,p ɪ s,0.24,4
tot,1,taught,t ɔ t,0.24,4
qu,1,coup,k u,0.26,8
tu,1,to,t u,0.26,8
ok,1,oak,oʊ k,0.285,1236
on,1,own,oʊ n,0.285,517
am,1,'m,ʌ m,0.285,249
ka,1,ca,k ʌ,0.285,28
av,1,of,ʌ v,0.285,13
ko,1,co,k oʊ,0.285,13
ho,1,ho,h oʊ,0.285,11
to,1,toe,t oʊ,0.285,11
mo,1,mo,m oʊ,0.285,6
din,1,dean,d i n,0.29,23
szim,1,seem,s i m,0.29,20
tök,1,talk,t ɔ k,0.29,18
föl,1,fall,f ɔ l,0.29,14
lik,1,leak,l i k,0.29,13
lin,1,lean,l i n,0.29,13
szil,1,seal,s i l,0.29,13
kösz,1,cos,k ɔ s,0.29,12
hid,1,he'd,h i d,0.29,11
kin,1,keen,k i n,0.29,10
mit,1,meet,m i t,0.29,7
szisz,1,cease,s i s,0.29,7
dön,1,dawn,d ɔ n,0.29,4
fiz,1,fees,f i z,0.29,4
liv,1,leave,l i v,0.29,4
tul,1,tool,t u l,0.307,62
mun,1,moon,m u n,0.307,25
kul,1,cool,k u l,0.307,21
bum,1,boom,b u m,0.307,7
hum,1,whom,h u m,0.307,5
lusz,1,loose,l u s,0.307,4
föld,1,fold,f oʊ l d,0.32,74
dönt,1,don't,d oʊ n t,0.32,67
ment,1,meant,m ɛ n t,0.32,48
kent,1,kent,k ɛ n t,0.32,21
szent,1,sent,s ɛ n t,0.32,20
szex,1,sex,s ɛ k s,0.32,7
folt,1,fault,f ɔ l t,0.32,6
klip,1,clip,k l ɪ p,0.32,6
link,1,link,l ɪ ŋ k,0.32,6
plat,1,plot,p l ɑ t,0.32,6
tent,1,tent,t ɛ n t,0.32,4
tan,1,ton,t ʌ n,0.323,151
szak,1,suck,s ʌ k,0.323,141
hal,1,hull,h ʌ l,0.323,124
kod,1,code,k oʊ d,0.323,92
szab,1,sub,s ʌ b,0.323,81
szol,1,soul,s oʊ l,0.323,74
old,1,old,oʊ l d,0.323,50
fok,1,folk,f oʊ k,0.323,45
ton,1,tone,t oʊ n,0.323,40
zon,1,zone,z oʊ n,0.323,20
bot,1,boat,b oʊ t,0.323,13
fon,1,phone,f oʊ n,0.323,13
kop,1,cope,k oʊ p,0.323,13
fül,1,full,f ʊ l,0.323,12
mad,1,mud,m ʌ d,0.323,12
nov,1,nov,n oʊ v,0.323,12
sük,1,shook,ʃ ʊ k,0.323,10
fan,1,fun,f ʌ n,0.323,9
bak,1,buck,b ʌ k,0.323,8
bon,1,bone,b oʊ n,0.323,8
dam,1,dumb,d ʌ m,0.323,8
hab,1,hub,h ʌ b,0.323,8
szan,1,son,s ʌ n,0.323,8
mod,1,mode,m oʊ d,0.323,7
hom,1,home,h oʊ m,0.323,6
lon,1,loan,l oʊ n,0.323,6
kot,1,coat,k oʊ t,0.323,5
non,1,known,n oʊ n,0.323,5
pop,1,pope,p oʊ p,0.323,5
and,1,and,ʌ n d,0.323,4
baz,1,buzz,b ʌ z,0.323,4
not,1,note,n oʊ t,0.323,4
szop,1,soap,s oʊ p,0.323,4
kül,1,cool,k u l,0.357,63
süt,1,shoot,ʃ u t,0.357,19
szün,1,soon,s u n,0.357,13
tül,1,tool,t u l,0.357,7
klin,1,clean,k l i n,0.357,5
bolt,1,bolt,b oʊ l t,0.383,18
hold,1,hold,h oʊ l d,0.383,13
izs,1,is,ɪ z,0.385,5
nyak,1,knock,n ɑ k,0.44,21
gyöny,1,joan,dʒ oʊ n,0.44,6
meny,1,men,m ɛ n,0.44,6
teny,1,ten,t ɛ n,0.44,6
sony,1,sean,ʃ ɔ n,0.44,4
eny,1,n,ɛ n,0.46,45
any,1,on,ɑ n,0.46,17
nyil,1,neil,n i l,0.49,47
bony,1,bone,b oʊ n,0.523,12
nyi,1,knee,n i,0.535,53
ony,1,own,oʊ n,0.585,116
t,1,to,t u,0.76,4093
i,1,in,ɪ n,0.76,2263
a,1,on,ɑ n,0.76,1196
k,1,co,k oʊ,0.76,1162
e,1,'s,ɛ s,0.76,1055
s,1,she,ʃ i,0.76,582
tA/,1,ta,t ɑ,0.76,416
n,1,no,n oʊ,0.76,388
köz,1,co,k oʊ,0.76,239
tör,1,toe,t oʊ,0.76,181
z,1,z,z i,0.76,180
tat,1,ta,t ɑ,0.76,178
tal,1,ta,t ɑ,0.76,162
nap,1,na,n ɑ,0.76,150
d,1,do,d u,0.76,143
ani,1,on,ɑ n,0.76,124
elő,1,l,ɛ l,0.76,119
tak,1,ta,t ɑ,0.76,114
eni,1,n,ɛ n,0.76,112
nagy,1,na,n ɑ,0.76,111
aszt,1,os,ɑ s,0.76,106
idő,1,id,ɪ d,0.76,103
kör,1,co,k oʊ,0.76,103
hagy,1,ha,h ɑ,0.76,98
hasz,1,ha,h ɑ,0.76,95
sor,1,shaw,ʃ ɔ,0.76,95
mag,1,ma,m ɑ,0.76,93
m,1,my,m aɪ,0.76,92
lap,1,la,l ɑ,0.76,88
elm,1,l,ɛ l,0.76,86
sz,1,so,s oʊ,0.76,86
lan,1,la,l ɑ,0.76,79
par,1,pa,p ɑ,0.76,72
köv,1,co,k oʊ,0.76,71
j,1,you,j u,0.76,67
lal,1,la,l ɑ,0.76,64
mar,1,ma,m ɑ,0.76,62
tar,1,ta,t ɑ,0.76,58
tag,1,ta,t ɑ,0.76,55
lom,1,law,l ɔ,0.76,53
szav,1,sa,s ɑ,0.76,49
har,1,ha,h ɑ,0.76,40
has,1,ha,h ɑ,0.76,38
man,1,ma,m ɑ,0.76,38
had,1,ha,h ɑ,0.76,37
szor,1,saw,s ɔ,0.76,36
haj,1,ha,h ɑ,0.76,34
magy,1,ma,m ɑ,0.76,34
szok,1,saw,s ɔ,0.76,34
hall,1,ha,h ɑ,0.76,32
elv,1,l,ɛ l,0.76,29
eszt,1,'s,ɛ s,0.76,29
ide,1,id,ɪ d,0.76,27
mat,1,ma,m ɑ,0.76,27
sok,1,shaw,ʃ ɔ,0.76,27
mal,1,ma,m ɑ,0.76,25
lag,1,la,l ɑ,0.76,24
han,1,ha,h ɑ,0.76,23
maz,1,ma,m ɑ,0.76,22
ens,1,n,ɛ n,0.76,20
int,1,in,ɪ n,0.76,20
lam,1,la,l ɑ,0.76,19
lop,1,law,l ɔ,0.76,18
szony,1,saw,s ɔ,0.76,18
könny,1,co,k oʊ,0.76,17
szar,1,sa,s ɑ,0.76,17
szom,1,saw,s ɔ,0.76,17
ham,1,ha,h ɑ,0.76,16
löv,1,low,l oʊ,0.76,16
ancs,1,on,ɑ n,0.76,15
önt,1,own,oʊ n,0.76,15
pad,1,pa,p ɑ,0.76,14
szög,1,so,s oʊ,0.76,14
lad,1,la,l ɑ,0.76,13
lov,1,law,l ɔ,0.76,13
pal,1,pa,p ɑ,0.76,13
szök,1,so,s oʊ,0.76,13
töb,1,toe,t oʊ,0.76,13
elé,1,l,ɛ l,0.76,12
ent,1,n,ɛ n,0.76,12
ina,1,in,ɪ n,0.76,12
ine,1,in,ɪ n,0.76,12
mas,1,ma,m ɑ,0.76,12
apá,1,op,ɑ p,0.76,11
ele,1,l,ɛ l,0.76,11
köny,1,co,k oʊ,0.76,11
nal,1,na,n ɑ,0.76,11
pan,1,pa,p ɑ,0.76,11
szap,1,sa,s ɑ,0.76,11
tas,1,ta,t ɑ,0.76,11
lab,1,la,l ɑ,0.76,10
olt,1,all,ɔ l,0.76,10
ször,1,so,s oʊ,0.76,10
ana,1,on,ɑ n,0.76,9
ene,1,n,ɛ n,0.76,9
höz,1,ho,h oʊ,0.76,9
kön,1,co,k oʊ,0.76,9
tab,1,ta,t ɑ,0.76,9
adá,1,odd,ɑ d,0.76,8
log,1,law,l ɔ,0.76,8
nar,1,na,n ɑ,0.76,8
szat,1,sa,s ɑ,0.76,8
hav,1,ha,h ɑ,0.76,7
ifj,1,if,ɪ f,0.76,7
imá,1,im,ɪ m,0.76,7
lok,1,law,l ɔ,0.76,7
mac,1,ma,m ɑ,0.76,7
sol,1,shaw,ʃ ɔ,0.76,7
szag,1,sa,s ɑ,0.76,7
sör,1,show,ʃ oʊ,0.76,7
tav,1,ta,t ɑ,0.76,7
ano,1,on,ɑ n,0.76,6
las,1,la,l ɑ,0.76,6
maj,1,ma,m ɑ,0.76,6
nam,1,na,n ɑ,0.76,6
nav,1,na,n ɑ,0.76,6
som,1,shaw,ʃ ɔ,0.76,6
szof,1,saw,s ɔ,0.76,6
szöv,1,so,s oʊ,0.76,6
töz,1,toe,t oʊ,0.76,6
adó,1,odd,ɑ d,0.76,5
dag,1,da,d ɑ,0.76,5
dar,1,da,d ɑ,0.76,5
gy,1,g,dʒ i,0.76,5
hany,1,ha,h ɑ,0.76,5
ida,1,id,ɪ d,0.76,5
ita,1,it,ɪ t,0.76,5
izm,1,is,ɪ z,0.76,5
lök,1,low,l oʊ,0.76,5
szob,1,saw,s ɔ,0.76,5
adu,1,odd,ɑ d,0.76,4
apa,1,op,ɑ p,0.76,4
ela,1,l,ɛ l,0.76,4
eld,1,l,ɛ l,0.76,4
ini,1,in,ɪ n,0.76,4
lott,1,law,l ɔ,0.76,4
pak,1,pa,p ɑ,0.76,4
szal,1,sa,s ɑ,0.76,4
szov,1,saw,s ɔ,0.76,4
söt,1,show,ʃ oʊ,0.76,4
biz,1,be,b i,0.835,91
kis,1,key,k i,0.835,71
tisz,1,t,t i,0.835,44
vis,1,v,v i,0.835,41
vizs,1,v,v i,0.835,37
hiv,1,he,h i,0.835,36
visz,1,v,v i,0.835,36
vil,1,v,v i,0.835,32
figy,1,fee,f i,0.835,29
tiv,1,t,t i,0.835,26
tiz,1,t,t i,0.835,26
tik,1,t,t i,0.835,25
bir,1,be,b i,0.835,20
gyil,1,g,dʒ i,0.835,20
fin,1,fee,f i,0.835,16
viz,1,v,v i,0.835,16
hisz,1,he,h i,0.835,15
mis,1,me,m i,0.835,14
vit,1,v,v i,0.835,14
kiv,1,key,k i,0.835,13
vin,1,v,v i,0.835,13
dig,1,d,d i,0.835,11
tit,1,t,t i,0.835,11
ölcs,1,all,ɔ l,0.835,11
sik,1,she,ʃ i,0.835,10
dim,1,d,d i,0.835,9
mic,1,me,m i,0.835,9
sziv,1,see,s i,0.835,9
hin,1,he,h i,0.835,8
lig,1,lee,l i,0.835,8
sin,1,she,ʃ i,0.835,8
szig,1,see,s i,0.835,8
hig,1,he,h i,0.835,7
lib,1,lee,l i,0.835,7
mily,1,me,m i,0.835,7
nin,1,knee,n i,0.835,7
vid,1,v,v i,0.835,7
win,1,v,v i,0.835,7
kir,1,key,k i,0.835,6
lim,1,lee,l i,0.835,6
sim,1,she,ʃ i,0.835,6
vir,1,v,v i,0.835,6
ötl,1,ought,ɔ t,0.835,6
bic,1,be,b i,0.835,5
dics,1,d,d i,0.835,5
kics,1,key,k i,0.835,5
lis,1,lee,l i,0.835,5
mig,1,me,m i,0.835,5
pic,1,p,p i,0.835,5
pir,1,p,p i,0.835,5
tipp,1,t,t i,0.835,5
vik,1,v,v i,0.835,5
wil,1,v,v i,0.835,5
fig,1,fee,f i,0.835,4
fir,1,fee,f i,0.835,4
ive,1,eve,i v,0.835,4
mir,1,me,m i,0.835,4
nic,1,knee,n i,0.835,4
siv,1,she,ʃ i,0.835,4
tis,1,t,t i,0.835,4
vic,1,v,v i,0.835,4
vigy,1,v,v i,0.835,4
viv,1,v,v i,0.835,4
ek,1,x,ɛ k s,0.84,1523
be,1,bed,b ɛ d,0.84,612
le,1,let,l ɛ t,0.84,347
ba,1,bought,b ɑ t,0.84,281
je,1,yet,j ɛ t,0.84,143
te,1,tell,t ɛ l,0.84,119
ható,1,hot,h ɑ t,0.84,100
tölt,1,toll,t oʊ l,0.84,67
film,1,fill,f ɪ l,0.84,47
ne,1,net,n ɛ t,0.84,40
sa,1,shot,ʃ ɑ t,0.84,39
leszt,1,less,l ɛ s,0.84,38
se,1,shell,ʃ ɛ l,0.84,33
szint,1,sin,s ɪ n,0.84,31
bele,1,bell,b ɛ l,0.84,27
beli,1,bell,b ɛ l,0.84,26
jo,1,y'all,j ɔ l,0.84,24
fotó,1,fought,f ɔ t,0.84,23
kapu,1,cop,k ɑ p,0.84,23
endő,1,end,ɛ n d,0.84,21
minő,1,min,m ɪ n,0.84,21
jeszt,1,yes,j ɛ s,0.84,20
fele,1,fell,f ɛ l,0.84,16
tilt,1,till,t ɪ l,0.84,16
felé,1,fell,f ɛ l,0.84,14
do,1,dog,d ɔ g,0.84,13
gyanú,1,john,dʒ ɑ n,0.84,13
kilo,1,kill,k ɪ l,0.84,12
költ,1,coal,k oʊ l,0.84,12
holt,1,hall,h ɔ l,0.84,11
me,1,men,m ɛ n,0.84,10
betű,1,bet,b ɛ t,0.84,9
buli,1,bull,b ʊ l,0.84,9
tina,1,tin,t ɪ n,0.84,9
babá,1,bob,b ɑ b,0.84,8
bo,1,ball,b ɔ l,0.84,8
dalm,1,doll,d ɑ l,0.84,8
he,1,head,h ɛ d,0.84,8
hölgy,1,whole,h oʊ l,0.84,8
tele,1,tell,t ɛ l,0.84,8
vonz,1,von,v ɔ n,0.84,8
ke,1,ken,k ɛ n,0.84,7
meszt,1,mess,m ɛ s,0.84,7
pe,1,pet,p ɛ t,0.84,7
sze,1,said,s ɛ d,0.84,7
bölcs,1,bowl,b oʊ l,0.84,6
de,1,death,d ɛ θ,0.84,6
gye,1,jeff,dʒ ɛ f,0.84,6
belé,1,bell,b ɛ l,0.84,5
fe,1,fell,f ɛ l,0.84,5
king,1,king,k ɪ ŋ,0.84,5
kölcs,1,coal,k oʊ l,0.84,5
minc,1,min,m ɪ n,0.84,5
szitu,1,sit,s ɪ t,0.84,5
tens,1,ten,t ɛ n,0.84,5
tex,1,tech,t ɛ k,0.84,5
voná,1,von,v ɔ n,0.84,5
delm,1,del,d ɛ l,0.84,4
exu,1,x,ɛ k s,0.84,4
kiló,1,kill,k ɪ l,0.84,4
mamá,1,mom,m ɑ m,0.84,4
mind,1,min,m ɪ n,0.84,4
mint,1,min,m ɪ n,0.84,4
tine,1,tin,t ɪ n,0.84,4
wo,1,von,v ɔ n,0.84,4
tud,1,to,t u,0.86,151
juk,1,you,j u,0.86,112
jut,1,you,j u,0.86,57
tus,1,to,t u,0.86,29
dul,1,do,d u,0.86,17
tum,1,to,t u,0.86,17
tur,1,to,t u,0.86,15
szus,1,sue,s u,0.86,11
hun,1,who,h u,0.86,10
husz,1,who,h u,0.86,10
dun,1,do,d u,0.86,9
zuk,1,zoo,z u,0.86,9
dug,1,do,d u,0.86,8
hull,1,who,h u,0.86,8
kur,1,coup,k u,0.86,8
kun,1,coup,k u,0.86,7
lyuk,1,you,j u,0.86,7
jus,1,you,j u,0.86,6
szur,1,sue,s u,0.86,6
hul,1,who,h u,0.86,5
sul,1,shoe,ʃ u,0.86,5
tusz,1,to,t u,0.86,5
kusz,1,coup,k u,0.86,4
sun,1,shoe,ʃ u,0.86,4
sup,1,shoe,ʃ u,0.86,4
szul,1,sue,s u,0.86,4
tug,1,to,t u,0.86,4
zul,1,zoo,z u,0.86,4
hoz,1,ho,h oʊ,0.885,196
koz,1,co,k oʊ,0.885,187
kor,1,co,k oʊ,0.885,186
kal,1,ca,k ʌ,0.885,143
kon,1,co,k oʊ,0.885,84
kar,1,ca,k ʌ,0.885,81
kom,1,co,k oʊ,0.885,52
tor,1,toe,t oʊ,0.885,41
mos,1,mo,m oʊ,0.885,36
mon,1,mo,m oʊ,0.885,27
ami,1,'m,ʌ m,0.885,26
toz,1,toe,t oʊ,0.885,24
hon,1,ho,h oʊ,0.885,23
hossz,1,ho,h oʊ,0.885,23
nok,1,no,n oʊ,0.885,22
hor,1,ho,h oʊ,0.885,20
tom,1,toe,t oʊ,0.885,18
kas,1,ca,k ʌ,0.885,17
kos,1,co,k oʊ,0.885,16
nom,1,no,n oʊ,0.885,15
kocs,1,co,k oʊ,0.885,14
moz,1,mo,m oʊ,0.885,14
hogy,1,ho,h oʊ,0.885,13
nor,1,no,n oʊ,0.885,12
tov,1,toe,t oʊ,0.885,12
mot,1,mo,m oʊ,0.885,11
koc,1,co,k oʊ,0.885,9
koh,1,co,k oʊ,0.885,9
toj,1,toe,t oʊ,0.885,9
ox,1,oak,oʊ k,0.885,8
ont,1,own,oʊ n,0.885,7
top,1,toe,t oʊ,0.885,7
kov,1,co,k oʊ,0.885,6
mosz,1,mo,m oʊ,0.885,6
toll,1,toe,t oʊ,0.885,6
hos,1,ho,h oʊ,0.885,5
one,1,own,oʊ n,0.885,5
tos,1,toe,t oʊ,0.885,5
kasz,1,ca,k ʌ,0.885,4
mor,1,mo,m oʊ,0.885,4
nosz,1,no,n oʊ,0.885,4
ona,1,own,oʊ n,0.885,4
ons,1,own,oʊ n,0.885,4
tob,1,toe,t oʊ,0.885,4
kincs,1,keen,k i n,0.89,14
kins,1,keen,k i n,0.89,6
közt,1,cos,k ɔ s,0.89,6
klub,1,clue,k l u,0.907,16
kulcs,1,cool,k u l,0.907,12
jö,1,y'all,j ɔ l,0.915,35
ban,1,bond,b ɑ n d,0.92,792
szexu,1,sex,s ɛ k s,0.92,4
hang,1,hung,h ʌ ŋ,0.923,58
font,1,phone,f oʊ n,0.923,19
andó,1,and,ʌ n d,0.923,14
bont,1,bone,b oʊ n,0.923,12
szlov,1,slow,s l oʊ,0.923,10
lang,1,lung,l ʌ ŋ,0.923,9
tükr,1,took,t ʊ k,0.923,9
blog,1,blow,b l oʊ,0.923,8
szaká,1,suck,s ʌ k,0.923,8
halm,1,hull,h ʌ l,0.923,5
lodá,1,load,l oʊ d,0.923,5
blokk,1,blow,b l oʊ,0.923,4
flor,1,flow,f l oʊ,0.923,4
tank,1,tongue,t ʌ ŋ,0.923,4
tanú,1,ton,t ʌ n,0.923,4
jük,1,you,j u,0.935,84
szül,1,sue,s u,0.935,64
zük,1,zoo,z u,0.935,29
szük,1,sue,s u,0.935,22
sül,1,shoe,ʃ u,0.935,10
küz,1,coup,k u,0.935,7
düh,1,do,d u,0.935,6
küsz,1,coup,k u,0.935,6
tüz,1,to,t u,0.935,5
dül,1,do,d u,0.935,4
küld,1,cool,k u l,0.957,52
ja,1,young,j ʌ ŋ,0.965,581
fa,1,fuck,f ʌ k,0.965,24
zo,1,zone,z oʊ n,0.965,4
pli,1,please,p l i z,0.97,4
izsa,1,is,ɪ z,0.985,4
bal,1,bulk,b ʌ l k,1.003,48
gyöngy,1,joan,dʒ oʊ n,1.04,9
anya,1,on,ɑ n,1.06,15
anyá,1,on,ɑ n,1.06,15
nyal,1,na,n ɑ,1.06,7
nyar,1,na,n ɑ,1.06,4
önyv,1,own,oʊ n,1.06,4
rend,1,send,s ɛ n d,1.07,170
mond,1,mind,m aɪ n d,1.07,115
pont,1,point,p ɔɪ n t,1.07,115
test,1,tent,t ɛ n t,1.07,80
szerz,1,cells,s ɛ l z,1.07,46
jelz,1,tells,t ɛ l z,1.07,24
bank,1,bank,b æ ŋ k,1.07,19
fest,1,felt,f ɛ l t,1.07,19
kert,1,kent,k ɛ n t,1.07,17
keszt,1,kent,k ɛ n t,1.07,15
titk,1,tits,t ɪ t s,1.07,15
gyilk,1,milk,m ɪ l k,1.07,13
zöld,1,told,t oʊ l d,1.07,13
lemz,1,legs,l ɛ g z,1.07,11
kelt,1,felt,f ɛ l t,1.07,10
land,1,land,l æ n d,1.07,10
csend,1,send,s ɛ n d,1.07,9
max,1,makes,m eɪ k s,1.07,9
cent,1,went,w ɛ n t,1.07,8
fejt,1,felt,f ɛ l t,1.07,8
ling,1,link,l ɪ ŋ k,1.07,8
teszt,1,tent,t ɛ n t,1.07,8
lant,1,want,w ɑ n t,1.07,7
flik,1,click,k l ɪ k,1.07,6
bant,1,want,w ɑ n t,1.07,5
bert,1,belt,b ɛ l t,1.07,5
feksz,1,sex,s ɛ k s,1.07,5
foszt,1,fault,f ɔ l t,1.07,5
fred,1,fled,f l ɛ d,1.07,5
klas,1,clock,k l ɑ k,1.07,5
rand,1,bond,b ɑ n d,1.07,5
ütem,1,stem,s t ɛ m,1.07,5
lex,1,looks,l ʊ k s,1.07,4
step,1,step,s t ɛ p,1.07,4
emel,1,smell,s m ɛ l,1.12,35
tanyá,1,ton,t ʌ n,1.123,4
hajt,1,hunt,h ʌ n t,1.133,38
park,1,punk,p ʌ ŋ k,1.133,14
hord,1,hold,h oʊ l d,1.133,12
csont,1,don't,d oʊ n t,1.133,11
gton,1,stone,s t oʊ n,1.133,8
ford,1,fold,f oʊ l d,1.133,7
ront,1,don't,d oʊ n t,1.133,7
brad,1,blood,b l ʌ d,1.133,4
nyit,1,knee,n i,1.135,36
nyis,1,knee,n i,1.135,4
nyug,1,new,n u,1.16,30
nyom,1,no,n oʊ,1.185,88
meg,1,men,m ɛ n,1.24,1282
szer,1,said,s ɛ d,1.24,422
hely,1,head,h ɛ d,1.24,244
ter,1,tell,t ɛ l,1.24,244
het,1,get,g ɛ t,1.24,229
leg,1,let,l ɛ t,1.24,228
unk,1,inc,ɪ ŋ k,1.24,220
val,1,doll,d ɑ l,1.24,220
vel,1,well,w ɛ l,1.24,184
kel,1,well,w ɛ l,1.24,161
kez,1,says,s ɛ z,1.24,159
tet,1,get,g ɛ t,1.24,153
len,1,when,w ɛ n,1.24,148
fej,1,fell,f ɛ l,1.24,143
fog,1,fall,f ɔ l,1.24,140
szem,1,some,s ʌ m,1.24,138
ked,1,could,k ʊ d,1.24,126
jel,1,well,w ɛ l,1.24,118
foly,1,fall,f ɔ l,1.24,100
hez,1,his,h ɪ z,1.24,96
vesz,1,yes,j ɛ s,1.24,89
